"metadata__language","metadata__transactionId","metadata__version","metadata__fromDate","metadata__toDate","metadata__station","metadata__status_code","metadata__message","actualWeatherData__date","actualWeatherData__time","actualWeatherData__temperature","actualWeatherData__relativeHumidity"
"","","","","","","","","2022-01-26","06:45:00","18.3","61.0"
"","","","","","","","","2022-01-26","07:00:00","18.3","62.0"
"","","","","","","","","2022-01-26","07:15:00","18.3","62.0"
"","","","","","","","","2022-01-26","07:30:00","18.4","61.0"
"","","","","","","","","2022-01-26","07:45:00","18.4","61.0"
"","","","","","","","","2022-01-26","08:00:00","18.9","61.0"
"","","","","","","","","2022-01-26","08:15:00","18.9","63.0"
"","","","","","","","","2022-01-26","08:30:00","19.1","62.0"
"","","","","","","","","2022-01-26","08:45:00","19.3","62.0"
"","","","","","","","","2022-01-26","09:00:00","19.5","63.0"
"","","","","","","","","2022-01-26","09:15:00","20.4","58.0"
"","","","","","","","","2022-01-26","09:30:00","20.9","57.0"
"","","","","","","","","2022-01-26","09:45:00","21.3","55.0"
"","","","","","","","","2022-01-26","10:00:00","22.2","52.0"
"","","","","","","","","2022-01-26","10:15:00","22.7","49.0"
"","","","","","","","","2022-01-26","10:30:00","23.0","49.0"
"","","","","","","","","2022-01-26","10:45:00","23.1","48.0"
"","","","","","","","","2022-01-26","11:00:00","23.3","48.0"
"","","","","","","","","2022-01-26","11:15:00","23.9","46.0"
"","","","","","","","","2022-01-26","11:30:00","24.1","45.0"
"","","","","","","","","2022-01-26","11:45:00","24.6","39.0"
"","","","","","","","","2022-01-26","12:00:00","24.9","39.0"
"","","","","","","","","2022-01-26","12:15:00","25.0","39.0"
"","","","","","","","","2022-01-26","12:30:00","24.5","41.0"
"","","","","","","","","2022-01-26","12:45:00","24.9","41.0"
"","","","","","","","","2022-01-26","13:00:00","25.1","40.0"
"","","","","","","","","2022-01-26","13:15:00","25.6","39.0"
"","","","","","","","","2022-01-26","13:30:00","25.7","45.0"
"","","","","","","","","2022-01-26","13:45:00","24.5","52.0"
"","","","","","","","","2022-01-26","14:00:00","24.4","54.0"
"","","","","","","","","2022-01-26","14:15:00","24.5","53.0"
"","","","","","","","","2022-01-26","14:30:00","24.1","55.0"
"","","","","","","","","2022-01-26","14:45:00","24.7","55.0"
"","","","","","","","","2022-01-26","15:00:00","24.3","55.0"
"","","","","","","","","2022-01-26","15:15:00","24.2","56.0"
"","","","","","","","","2022-01-26","15:30:00","24.3","57.0"
"","","","","","","","","2022-01-26","15:45:00","24.6","56.0"
"","","","","","","","","2022-01-26","16:00:00","24.6","56.0"
"","","","","","","","","2022-01-26","16:15:00","24.2","59.0"
"","","","","","","","","2022-01-26","16:30:00","23.8","62.0"
"","","","","","","","","2022-01-26","16:45:00","23.6","64.0"
"","","","","","","","","2022-01-26","17:00:00","23.4","66.0"
"","","","","","","","","2022-01-26","17:15:00","23.3","64.0"
"","","","","","","","","2022-01-26","17:30:00","23.3","64.0"
"","","","","","","","","2022-01-26","17:45:00","23.1","68.0"
"","","","","","","","","2022-01-26","18:00:00","22.8","73.0"
"","","","","","","","","2022-01-26","18:15:00","22.5","77.0"
"","","","","","","","","2022-01-26","18:30:00","22.3","77.0"
"","","","","","","","","2022-01-26","18:45:00","22.3","78.0"
"","","","","","","","","2022-01-26","19:00:00","22.1","79.0"
"","","","","","","","","2022-01-26","19:15:00","22.1","80.0"
"","","","","","","","","2022-01-26","19:30:00","22.3","73.0"
"","","","","","","","","2022-01-26","19:45:00","22.2","75.0"
"","","","","","","","","2022-01-26","20:00:00","22.2","72.0"
"","","","","","","","","2022-01-26","20:15:00","22.1","77.0"
"","","","","","","","","2022-01-26","20:30:00","22.0","74.0"
"","","","","","","","","2022-01-26","20:45:00","21.9","74.0"
"","","","","","","","","2022-01-26","21:00:00","21.7","73.0"
"","","","","","","","","2022-01-26","21:15:00","21.5","70.0"
"","","","","","","","","2022-01-26","21:30:00","21.1","73.0"
"","","","","","","","","2022-01-26","21:45:00","20.5","80.0"
"","","","","","","","","2022-01-26","22:00:00","20.0","87.0"
"","","","","","","","","2022-01-26","22:15:00","19.5","98.0"
"","","","","","","","","2022-01-26","22:30:00","19.4","99.0"
"","","","","","","","","2022-01-26","22:45:00","19.4","99.0"
"","","","","","","","","2022-01-26","23:00:00","19.0","99.0"
"","","","","","","","","2022-01-26","23:15:00","19.0","99.0"
"","","","","","","","","2022-01-26","23:30:00","18.7","99.0"
"","","","","","","","","2022-01-26","23:45:00","18.7","99.0"
"","","","","","","","","2022-01-27","00:00:00","18.9","99.0"
"","","","","","","","","2022-01-27","00:15:00","18.8","99.0"
"","","","","","","","","2022-01-27","00:30:00","18.8","99.0"
"","","","","","","","","2022-01-27","00:45:00","18.6","99.0"
"","","","","","","","","2022-01-27","01:00:00","18.6","99.0"
"","","","","","","","","2022-01-27","01:15:00","18.2","99.0"
"","","","","","","","","2022-01-27","01:30:00","18.1","99.0"
"","","","","","","","","2022-01-27","01:45:00","18.5","99.0"
"","","","","","","","","2022-01-27","02:00:00","18.4","99.0"
"","","","","","","","","2022-01-27","02:15:00","18.9","99.0"
"","","","","","","","","2022-01-27","02:30:00","18.8","99.0"
"","","","","","","","","2022-01-27","02:45:00","18.6","99.0"
"","","","","","","","","2022-01-27","03:00:00","18.8","99.0"
"","","","","","","","","2022-01-27","03:15:00","19.1","99.0"
"","","","","","","","","2022-01-27","03:30:00","18.8","99.0"
"","","","","","","","","2022-01-27","03:45:00","19.1","99.0"
"","","","","","","","","2022-01-27","04:00:00","19.3","99.0"
"","","","","","","","","2022-01-27","04:15:00","19.0","99.0"
"","","","","","","","","2022-01-27","04:30:00","19.2","99.0"
"","","","","","","","","2022-01-27","04:45:00","19.4","99.0"
"","","","","","","","","2022-01-27","05:00:00","19.7","99.0"
"","","","","","","","","2022-01-27","05:15:00","19.6","99.0"
"","","","","","","","","2022-01-27","05:30:00","19.5","99.0"
"","","","","","","","","2022-01-27","05:45:00","19.5","99.0"
"","","","","","","","","2022-01-27","06:00:00","19.5","99.0"
